miRNA	Cancer-type
hsa-mir-592	BRCA
hsa-mir-190b	BRCA
hsa-mir-429	BRCA
hsa-mir-375	BRCA
hsa-mir-301b	BRCA
hsa-mir-184	LUAD
hsa-mir-3154	LUAD
hsa-mir-484	COAD
hsa-mir-1249	COAD
hsa-mir-760	COAD
hsa-mir-3653	COAD
hsa-mir-375	COAD
hsa-mir-2110	COAD
hsa-mir-326	COAD
hsa-mir-346	COAD
hsa-mir-1538	COAD
hsa-mir-1976	COAD
hsa-mir-219-2	LGG
hsa-mir-124-1	LGG
hsa-mir-124-2	LGG
hsa-mir-124-3	LGG
hsa-mir-9-3	LGG
hsa-mir-9-2	LGG
hsa-mir-9-1	LGG
hsa-mir-488	LGG
hsa-mir-383	LGG
hsa-mir-153-1	LGG
hsa-mir-153-2	LGG
hsa-mir-346	LGG
hsa-mir-338	LGG
hsa-mir-129-2	LGG
hsa-mir-129-1	LGG
hsa-mir-3943	LGG
hsa-mir-128-2	LGG
hsa-mir-128-1	LGG
hsa-mir-942	LGG
hsa-mir-663	LGG
hsa-mir-3189	LGG
hsa-mir-221	LGG
hsa-mir-3687	LGG
hsa-mir-1304	LGG
hsa-mir-190b	LGG
hsa-mir-1266	LGG
hsa-mir-3651	LGG
hsa-mir-3652	LGG
hsa-mir-147b	LGG
hsa-mir-193a	LGG
hsa-mir-222	LGG
hsa-mir-210	LGG
hsa-mir-145	LGG
hsa-mir-142	LGG
hsa-mir-1247	LGG
hsa-mir-3648	LGG
hsa-mir-21	LGG
hsa-mir-378	LGG
hsa-mir-378c	LGG
hsa-mir-511-2	LGG
hsa-mir-511-1	LGG
hsa-mir-143	LGG
hsa-mir-187	LGG
hsa-mir-196b	LGG
hsa-mir-150	LGG
hsa-mir-615	LGG
hsa-mir-146b	LGG
hsa-mir-1245	LGG
hsa-mir-493	LGG
hsa-mir-196a-2	LGG
hsa-mir-155	LGG
hsa-mir-3150b	LGG
hsa-mir-452	LGG
hsa-mir-3934	LGG
hsa-mir-3614	LGG
hsa-mir-1293	LGG
hsa-mir-148a	LGG
hsa-mir-10a	LGG
hsa-mir-196a-1	LGG
hsa-mir-192	LGG
hsa-mir-135b	LGG
hsa-mir-31	LGG
hsa-mir-146a	LGG
hsa-mir-214	LGG
hsa-mir-199b	LGG
hsa-mir-675	LGG
hsa-mir-194-1	LGG
hsa-mir-194-2	LGG
hsa-mir-199a-1	LGG
hsa-mir-199a-2	LGG
hsa-mir-224	LGG
hsa-mir-934	LGG
hsa-mir-944	LGG
hsa-mir-203	LGG
hsa-mir-509-3	LGG
hsa-mir-509-2	LGG
hsa-mir-509-1	LGG
hsa-mir-429	LGG
hsa-mir-375	LGG
hsa-mir-205	LGG
hsa-mir-200c	LGG
hsa-mir-200b	LGG
hsa-mir-200a	LGG
hsa-mir-141	LGG
