Features	Importance
DOM_PF00870	0.1829731773041162
FATHMM_pred	0.14498921153932873
MutationTaster_pred	0.13731264098100832
Variant_Classification_Silent	0.12379236868182032
DOM_PF00613	0.10291552910528098
Variant_Classification_Frame_Shift_Ins	0.037976319234017945
MutationAssessor_pred	0.028923261256910623
MetaLR_pred	0.027717058116765746
LRT_pred	0.02728235838386507
MetaSVM_pred	0.027055711240958603
Variant_Classification_In_Frame_Del	0.022298205935077642
SIFT_pred	0.020118258054802763
Variant_Classification_Missense_Mutation	0.01868086827298697
Variant_Classification_Frame_Shift_Del	0.017522569198742052
Polyphen2_HVAR_pred	0.01594554664042813
Polyphen2_HDIV_pred	0.014334197236283543
Variant_Classification_3'UTR	0.011832175731840321
fathmm-MKL_coding_pred	0.009018951781298053
PROVEAN_pred	0.007844562695365454
Variant_Classification_In_Frame_Ins	0.00624810148828496
Variant_Classification_Intron	0.004597973072535461
Variant_Classification_Nonsense_Mutation	0.003376175683858733
Variant_Classification_Splice_Site	0.001997748472379904
DOM_PF00028	0.0018007281440127051
DOM_PF00792	0.000931692047892451
Variant_Classification_5'UTR	0.0004970520821098138
DOM_PF00853	0.00045735808893909924
DOM_PF00907	0.00040201230546769187
DOM_PF02192	0.00031037474854419243
DOM_PF02312	0.00022409764055693443
DOM_PF10409	0.00021454858444553215
DOM_PF00320	0.00017240851955291768
Variant_Classification_3'Flank	8.831012273100292e-05
Variant_Classification_Splice_Region	7.294026389482917e-05
DOM_PF07710	4.6161381693179214e-05
Variant_Classification_5'Flank	2.934596220324643e-05
DOM_PF16454	0.0
DOM_PF00361	0.0
DOM_PF15444	0.0
DOM_PF01059	0.0
DOM_PF06455	0.0
DOM_PF00507	0.0
DOM_PF00146	0.0
DOM_PF00119	0.0
DOM_PF00125	0.0
DOM_PF09040	0.0
DOM_PF15991	0.0
DOM_PF06229	0.0
DOM_PF15260	0.0
DOM_PF15504	0.0
DOM_PF13631	0.0
DOM_PF00510	0.0
DOM_PF00115	0.0
DOM_PF03154	0.0
DOM_PF13853	0.0
Variant_Classification_IGR	0.0
Variant_Classification_Nonstop_Mutation	0.0
Variant_Classification_Translation_Start_Site	0.0
Variant_Classification_RNA	0.0
DOM_PF04553	0.0
